Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2016,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI (O),"79,701 KM",DIESEL,MANUAL,Bangalore,7.31 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"26,534 KM",PETROL,MANUAL,Bangalore,4.53 lakh
2019,Hyundai,Hyundai i20 Active 1.2 SX,"73,607 KM",PETROL,MANUAL,Bangalore,7.28 lakh
2019,Hyundai,Hyundai NEW SANTRO ASTA MT,"55,677 KM",PETROL,MANUAL,Bangalore,4.71 lakh
2019,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"73,192 KM",PETROL,AUTOMATIC,Bangalore,5.64 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"23,793 KM",PETROL,MANUAL,Bangalore,6.99 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"14,274 KM",PETROL,AUTOMATIC,Bangalore,7.28 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"51,852 KM",PETROL,MANUAL,Bangalore,6.58 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"58,130 KM",PETROL,AUTOMATIC,Bangalore,10.87 lakh
2022,Hyundai,Hyundai AURA SX PLUS 1.2 AMT,"9,393 KM",PETROL,AUTOMATIC,Bangalore,7.94 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.2,"62,951 KM",PETROL,MANUAL,Bangalore,4.32 lakh
2018,Hyundai,Hyundai Eon ERA PLUS (O),"57,966 KM",PETROL,MANUAL,Bangalore,3.54 lakh
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"92,759 KM",PETROL,MANUAL,Bangalore,4.97 lakh
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"49,460 KM",PETROL,MANUAL,Bangalore,4.47 lakh
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"81,961 KM",PETROL,MANUAL,Bangalore,6.87 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"52,074 KM",PETROL,MANUAL,Bangalore,4.58 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"50,840 KM",PETROL,AUTOMATIC,Bangalore,5.97 lakh
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"60,620 KM",PETROL,MANUAL,Bangalore,5.27 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"61,288 KM",PETROL,AUTOMATIC,Bangalore,9.13 lakh
2016,Hyundai,Hyundai Verna 1.6 CRDI SX,"69,384 KM",DIESEL,MANUAL,Bangalore,8.01 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"11,853 KM",PETROL,MANUAL,Bangalore,5.94 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"81,093 KM",PETROL,MANUAL,Bangalore,4.19 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"32,241 KM",PETROL,MANUAL,Bangalore,7.11 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"44,868 KM",PETROL,AUTOMATIC,Bangalore,5.81 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"41,208 KM",PETROL,MANUAL,Bangalore,5.31 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"49,862 KM",PETROL,MANUAL,Bangalore,5.38 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"93,513 KM",PETROL,MANUAL,Bangalore,4.03 lakh
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"21,223 KM",PETROL,MANUAL,Bangalore,5.47 lakh
2011,Hyundai,Hyundai Eon ERA,"58,637 KM",PETROL,MANUAL,Bangalore,2.37 lakh
2022,Hyundai,Hyundai VENUE SX (O) 1.0 TURBO DCT,"15,703 KM",PETROL,AUTOMATIC,Bangalore,13.31 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"74,972 KM",PETROL,MANUAL,Bangalore,4.98 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"33,903 KM",PETROL,MANUAL,Bangalore,4.98 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"41,548 KM",PETROL,MANUAL,Bangalore,4.36 lakh
2020,Hyundai,Hyundai NEW I20 ASTA (O) 1.2 MT,"28,806 KM",PETROL,MANUAL,Bangalore,8.29 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,"45,834 KM",PETROL,AUTOMATIC,Bangalore,6.56 lakh
2022,Hyundai,Hyundai VENUE S 1.2,"18,184 KM",PETROL,MANUAL,Bangalore,8.64 lakh
2019,Hyundai,Hyundai VENUE S 1.0 TURBO DCT,"52,244 KM",PETROL,AUTOMATIC,Bangalore,8.17 lakh
2021,Hyundai,Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,"37,258 KM",PETROL,MANUAL,Bangalore,6.72 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"10,218 KM",PETROL,AUTOMATIC,Bangalore,7.04 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"42,546 KM",PETROL,AUTOMATIC,Bangalore,9.81 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"39,866 KM",PETROL,MANUAL,Bangalore,6.74 lakh
2011,Hyundai,Hyundai i10 SPORTZ 1.2,"47,500 KM",PETROL,MANUAL,Bangalore,3.03 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"45,828 KM",PETROL,AUTOMATIC,Bangalore,5.97 lakh
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"51,615 KM",PETROL,MANUAL,Bangalore,5.24 lakh
2014,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"45,424 KM",PETROL,AUTOMATIC,Bangalore,4.48 lakh
2023,Hyundai,Hyundai VENUE SX 1.2 PETROL,"9,717 KM",PETROL,MANUAL,Bangalore,11.3 lakh
2020,Hyundai,Hyundai NEW SANTRO ASTA AMT,"18,062 KM",PETROL,AUTOMATIC,Bangalore,6.73 lakh
2014,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI SX,"89,332 KM",DIESEL,MANUAL,Bangalore,5.61 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"21,868 KM",PETROL,MANUAL,Bangalore,5.57 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,"87,055 KM",PETROL,MANUAL,Bangalore,6.23 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO,"52,456 KM",PETROL,MANUAL,Bangalore,9.34 lakh
2019,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"25,298 KM",PETROL,MANUAL,Bangalore,7.11 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"31,709 KM",PETROL,MANUAL,Bangalore,5.43 lakh
2015,Hyundai,Hyundai Xcent S 1.2,"54,387 KM",PETROL,MANUAL,Bangalore,4.29 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"69,425 KM",PETROL,MANUAL,Bangalore,4.65 lakh
2019,Hyundai,Hyundai Elite i20 SPORTZ PLUS 1.2,"51,792 KM",PETROL,MANUAL,Bangalore,6.69 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,"49,849 KM",PETROL,MANUAL,Bangalore,6.55 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI,"70,639 KM",DIESEL,MANUAL,Bangalore,7 lakh
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"58,161 KM",PETROL,MANUAL,Bangalore,5.52 lakh
2019,Hyundai,Hyundai Creta SX 1.6 DIESEL,"75,395 KM",DIESEL,MANUAL,Bangalore,12.89 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"43,255 KM",PETROL,MANUAL,Bangalore,4.82 lakh
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"40,780 KM",PETROL,MANUAL,Bangalore,5.64 lakh
2019,Hyundai,Hyundai Verna 1.6 VTVT SX + AT,"37,380 KM",PETROL,AUTOMATIC,Bangalore,9.29 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,"13,259 KM",PETROL,MANUAL,Bangalore,5.41 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"21,881 KM",PETROL,AUTOMATIC,Bangalore,10.23 lakh
2020,Hyundai,Hyundai VENUE S 1.2,"17,800 KM",PETROL,MANUAL,Bangalore,7.32 lakh
2021,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"23,972 KM",PETROL,MANUAL,Bangalore,5.66 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT,"21,438 KM",PETROL,MANUAL,Bangalore,6.1 lakh
2014,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"12,047 KM",PETROL,AUTOMATIC,Bangalore,4.86 lakh
2019,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO,"34,996 KM",PETROL,MANUAL,Bangalore,9.57 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,"34,496 KM",PETROL,MANUAL,Bangalore,5.28 lakh
2014,Hyundai,Hyundai Xcent S 1.2,"67,606 KM",PETROL,MANUAL,Bangalore,4.12 lakh
2021,Hyundai,Hyundai NEW I20 ASTA (O) 1.2 MT,"30,376 KM",PETROL,MANUAL,Bangalore,8.12 lakh
2021,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT DUAL TONE,"21,027 KM",PETROL,AUTOMATIC,Bangalore,17.25 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI (O),"86,715 KM",DIESEL,MANUAL,Bangalore,7.19 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"27,754 KM",PETROL,AUTOMATIC,Bangalore,7.04 lakh
2015,Hyundai,Hyundai Xcent S 1.2,"69,271 KM",PETROL,MANUAL,Bangalore,4.19 lakh
2014,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"40,479 KM",PETROL,MANUAL,Bangalore,4.25 lakh
2015,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"80,575 KM",PETROL,AUTOMATIC,Bangalore,4.58 lakh
2015,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"50,784 KM",PETROL,MANUAL,Bangalore,5.21 lakh
2013,Hyundai,Hyundai i10 SPORTZ 1.2,"55,303 KM",PETROL,MANUAL,Bangalore,3.49 lakh
2019,Hyundai,Hyundai Elite i20 ASTA (O) CVT,"23,570 KM",PETROL,AUTOMATIC,Bangalore,7.92 lakh
2021,Hyundai,Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,"30,588 KM",PETROL,AUTOMATIC,Bangalore,7.45 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"69,760 KM",PETROL,MANUAL,Bangalore,4.53 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"24,183 KM",PETROL,MANUAL,Bangalore,5.82 lakh
2020,Hyundai,Hyundai Verna SX (O) 1.5 CRDI,"60,943 KM",DIESEL,MANUAL,Bangalore,12.88 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"23,731 KM",PETROL,MANUAL,Bangalore,5.59 lakh
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"70,403 KM",PETROL,MANUAL,Bangalore,4.41 lakh
2017,Hyundai,Hyundai i20 Active 1.4 SX,"39,981 KM",DIESEL,MANUAL,Bangalore,7.79 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"27,218 KM",PETROL,MANUAL,Bangalore,4.77 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,"16,920 KM",PETROL,MANUAL,Bangalore,9.77 lakh
2014,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"61,541 KM",PETROL,AUTOMATIC,Bangalore,4.36 lakh
2013,Hyundai,Hyundai i10 SPORTZ 1.2,"46,079 KM",PETROL,MANUAL,Bangalore,4.08 lakh
2022,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,"20,634 KM",PETROL,AUTOMATIC,Bangalore,17.7 lakh
2022,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"19,934 KM",PETROL,MANUAL,Bangalore,5.87 lakh
2013,Hyundai,Hyundai i20 MAGNA (O) 1.2,"80,835 KM",PETROL,MANUAL,Bangalore,3.59 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"12,878 KM",PETROL,AUTOMATIC,Bangalore,7.26 lakh
2020,Hyundai,Hyundai Creta SX (O) IVT 1.5 PETROL,"38,702 KM",PETROL,AUTOMATIC,Bangalore,14.89 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"35,728 KM",PETROL,MANUAL,Bangalore,7.3 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"78,703 KM",PETROL,MANUAL,Bangalore,8.54 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"26,623 KM",PETROL,MANUAL,Bangalore,5.15 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,"52,278 KM",PETROL,AUTOMATIC,Bangalore,5.12 lakh
2015,Hyundai,Hyundai Xcent S (O) 1.2,"71,143 KM",PETROL,MANUAL,Bangalore,4.53 lakh
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI SX,"1,03,388 KM",DIESEL,MANUAL,Bangalore,4.34 lakh
2016,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"93,065 KM",PETROL,AUTOMATIC,Bangalore,4.71 lakh
2014,Hyundai,Hyundai Xcent S 1.2,"72,810 KM",PETROL,MANUAL,Bangalore,4.09 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"6,606 KM",PETROL,AUTOMATIC,Bangalore,12.4 lakh
2022,Hyundai,Hyundai VENUE S+ 1.2,"33,680 KM",PETROL,MANUAL,Bangalore,8.55 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"17,849 KM",PETROL,MANUAL,Bangalore,5.96 lakh
2015,Hyundai,Hyundai Eon D-LITE+,"71,802 KM",PETROL,MANUAL,Bangalore,2.6 lakh
2014,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"80,602 KM",PETROL,MANUAL,Bangalore,4.16 lakh
2022,Hyundai,Hyundai NEW I20 SPORTZ 1.2 MT DUAL TONE,"38,428 KM",PETROL,MANUAL,Bangalore,8.45 lakh
2015,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"99,767 KM",PETROL,MANUAL,Bangalore,4.19 lakh
2013,Hyundai,Hyundai Eon ERA +,"59,056 KM",PETROL,MANUAL,Bangalore,2.72 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,"74,832 KM",PETROL,MANUAL,Bangalore,4.96 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"40,475 KM",PETROL,AUTOMATIC,Bangalore,10.25 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,"9,281 KM",PETROL,MANUAL,Bangalore,6.31 lakh
2014,Hyundai,Hyundai Eon ERA +,"35,510 KM",PETROL,MANUAL,Bangalore,2.85 lakh
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,"59,998 KM",PETROL,MANUAL,Bangalore,4.5 lakh
2014,Hyundai,Hyundai Eon MAGNA +,"97,619 KM",PETROL,MANUAL,Bangalore,2.61 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"76,040 KM",PETROL,MANUAL,Bangalore,8.16 lakh
2018,Hyundai,Hyundai Verna 1.4 EX PETROL,"70,838 KM",PETROL,MANUAL,Bangalore,7.06 lakh
2017,Hyundai,Hyundai Elite i20 ERA 1.2,"10,914 KM",PETROL,MANUAL,Bangalore,5.69 lakh
2013,Hyundai,Hyundai i20 MAGNA (O) 1.4 CRDI,"94,514 KM",DIESEL,MANUAL,Bangalore,3.6 lakh
2014,Hyundai,Hyundai Santro Xing GLS PLUS AUDIO,"74,647 KM",PETROL,MANUAL,Bangalore,2.74 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,"20,560 KM",PETROL,AUTOMATIC,Bangalore,5.46 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"32,237 KM",PETROL,MANUAL,Bangalore,4.14 lakh
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"50,068 KM",PETROL,MANUAL,Bangalore,6.92 lakh
2013,Hyundai,Hyundai i20 ASTA 1.2,"78,316 KM",PETROL,MANUAL,Bangalore,4.08 lakh
2016,Hyundai,Hyundai i10 SPORTZ 1.1,"16,798 KM",PETROL,MANUAL,Bangalore,4.16 lakh
2014,Hyundai,Hyundai Santro Xing GL PLUS,"69,029 KM",PETROL,MANUAL,Bangalore,2.52 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"96,375 KM",PETROL,MANUAL,Bangalore,4.36 lakh
2014,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"76,725 KM",PETROL,MANUAL,Bangalore,3.84 lakh
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"1,17,675 KM",PETROL,MANUAL,Bangalore,4.96 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"17,285 KM",PETROL,AUTOMATIC,Bangalore,6.76 lakh
2020,Hyundai,Hyundai AURA SX PLUS 1.2 AMT,"74,849 KM",PETROL,AUTOMATIC,Bangalore,6.37 lakh
2019,Hyundai,Hyundai Elite i20 SPORTZ PLUS 1.2,"39,915 KM",PETROL,MANUAL,Bangalore,7.01 lakh
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"61,235 KM",PETROL,MANUAL,Bangalore,9.03 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"28,474 KM",PETROL,MANUAL,Bangalore,5.03 lakh
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"45,003 KM",PETROL,MANUAL,Bangalore,5 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"72,455 KM",PETROL,MANUAL,Bangalore,2.71 lakh
2012,Hyundai,Hyundai i10 ERA 1.1,"56,699 KM",PETROL,MANUAL,Bangalore,2.69 lakh
2014,Hyundai,Hyundai Grand i10 MAGNA 1.1 CRDI,"54,106 KM",DIESEL,MANUAL,Bangalore,4.58 lakh
2013,Hyundai,Hyundai i10 ASTA 1.2,"61,285 KM",PETROL,MANUAL,Bangalore,4.11 lakh
2014,Hyundai,Hyundai Xcent SX AT 1.2 (O),"96,431 KM",PETROL,AUTOMATIC,Bangalore,4.22 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"19,792 KM",PETROL,AUTOMATIC,Bangalore,9.94 lakh
2015,Hyundai,Hyundai Xcent S (O) 1.2,"88,423 KM",PETROL,MANUAL,Bangalore,3.95 lakh
2014,Hyundai,Hyundai Xcent S 1.2,"82,065 KM",PETROL,MANUAL,Bangalore,3.76 lakh
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"14,199 KM",PETROL,MANUAL,Bangalore,4.83 lakh
2018,Hyundai,Hyundai Xcent E+,"73,536 KM",PETROL,MANUAL,Bangalore,4.56 lakh
2019,Hyundai,Hyundai Elite i20 SPORTZ PLUS 1.2 CVT,"38,639 KM",PETROL,AUTOMATIC,Bangalore,7.43 lakh
2020,Hyundai,Hyundai Creta S 1.5 PETROL,"30,447 KM",PETROL,MANUAL,Bangalore,11.83 lakh
2019,Hyundai,Hyundai Creta SX (O) 1.6 PETROL,"60,704 KM",PETROL,MANUAL,Bangalore,10.81 lakh
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"50,641 KM",PETROL,MANUAL,Bangalore,5.9 lakh
2019,Hyundai,Hyundai Elite i20 SPORTZ PLUS 1.2,"21,733 KM",PETROL,MANUAL,Bangalore,7.27 lakh
2019,Hyundai,Hyundai Creta SX 1.6 PETROL DUAL TONE,"36,336 KM",PETROL,MANUAL,Bangalore,10.56 lakh
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"78,959 KM",PETROL,MANUAL,Bangalore,5.67 lakh
2018,Honda,Honda BR-V 1.5L I-VTEC V,"37,010 KM",PETROL,MANUAL,Bangalore,8.02 lakh
2019,Honda,Honda City 1.5L I-VTEC ZX CVT,"30,264 KM",PETROL,AUTOMATIC,Bangalore,11.68 lakh
2018,Honda,Honda Amaze 1.2L I-VTEC VX,"86,555 KM",PETROL,MANUAL,Bangalore,6.26 lakh
2020,Honda,Honda Jazz 1.2L I-VTEC ZX,"62,299 KM",PETROL,MANUAL,Bangalore,7.9 lakh
2012,Honda,Honda Jazz 1.2L I-VTEC X,"32,864 KM",PETROL,MANUAL,Bangalore,3.82 lakh
2013,Honda,Honda Brio S MT,"31,104 KM",PETROL,MANUAL,Bangalore,3.27 lakh
2018,Honda,Honda Amaze 1.2L I-VTEC S,"54,566 KM",PETROL,MANUAL,Bangalore,5.5 lakh
2013,Honda,Honda Brio S MT,"27,050 KM",PETROL,MANUAL,Bangalore,3.38 lakh
2015,Honda,Honda City 1.5L I-VTEC SV CVT,"37,511 KM",PETROL,AUTOMATIC,Bangalore,5.96 lakh
2019,Honda,Honda Jazz 1.2L I-VTEC V,"20,269 KM",PETROL,MANUAL,Bangalore,6.2 lakh
2019,Honda,Honda Civic 1.8L I-VTEC ZX CVT,"20,315 KM",PETROL,AUTOMATIC,Bangalore,19.18 lakh
2017,Honda,Honda WR-V 1.2L I-VTEC VX MT,"46,533 KM",PETROL,MANUAL,Bangalore,7 lakh
2014,Honda,Honda City 1.5L I-VTEC SV,"1,20,786 KM",PETROL,MANUAL,Bangalore,4.6 lakh
2019,Honda,Honda Civic 1.8L I-VTEC ZX CVT,"32,601 KM",PETROL,AUTOMATIC,Bangalore,18.33 lakh
2014,Honda,Honda Brio VX AT,"93,107 KM",PETROL,AUTOMATIC,Bangalore,3.91 lakh
2015,Honda,Honda City 1.5L I-VTEC VX,"52,322 KM",PETROL,MANUAL,Bangalore,6.04 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC V AT,"67,757 KM",PETROL,AUTOMATIC,Bangalore,5.66 lakh
2020,Honda,Honda Amaze 1.2L I-VTEC VX,"33,889 KM",PETROL,MANUAL,Bangalore,6.97 lakh
2015,Honda,Honda Jazz 1.2L I-VTEC SV,"60,512 KM",PETROL,MANUAL,Bangalore,4.46 lakh
2012,Honda,Honda City 1.5L I-VTEC V MT,"1,16,738 KM",PETROL,MANUAL,Bangalore,3.9 lakh
2019,Honda,Honda Amaze 1.5L I-DTEC V,"1,30,578 KM",DIESEL,MANUAL,Bangalore,6.61 lakh
2016,Honda,Honda City 1.5L I-VTEC V MT,"1,11,638 KM",PETROL,MANUAL,Bangalore,5.25 lakh
2015,Honda,Honda Jazz 1.2L I-VTEC V AT,"48,627 KM",PETROL,AUTOMATIC,Bangalore,5.65 lakh
2020,Honda,Honda WR-V 1.2L I-VTEC VX MT,"74,928 KM",PETROL,MANUAL,Bangalore,8.06 lakh
2012,Honda,Honda Jazz 1.2L I-VTEC X,"35,444 KM",PETROL,MANUAL,Bangalore,3.67 lakh
2020,Honda,Honda City 1.5L I-VTEC VX CVT,"36,093 KM",PETROL,AUTOMATIC,Bangalore,12.14 lakh
2013,Honda,Honda City 1.5L I-VTEC V MT,"1,03,965 KM",PETROL,MANUAL,Bangalore,4.8 lakh
2014,Honda,Honda Amaze 1.2L I-VTEC VX,"1,09,589 KM",PETROL,MANUAL,Bangalore,3.66 lakh
2018,Honda,Honda City 1.5L I-VTEC VX,"85,702 KM",PETROL,MANUAL,Bangalore,8.35 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC V AT,"68,331 KM",PETROL,AUTOMATIC,Bangalore,5.29 lakh
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,"76,529 KM",PETROL,AUTOMATIC,Bangalore,7.9 lakh
2019,Honda,Honda City 1.5L I-VTEC VX,"55,227 KM",PETROL,MANUAL,Bangalore,9.19 lakh
2023,Honda,Honda Amaze 1.2L I-VTEC VX CVT,"10,391 KM",PETROL,AUTOMATIC,Bangalore,9.49 lakh
2018,Honda,Honda WR-V 1.2L I-VTEC VX MT,"22,231 KM",PETROL,MANUAL,Bangalore,7.01 lakh
2019,Honda,Honda Amaze 1.5L I-DTEC V CVT,"49,663 KM",DIESEL,AUTOMATIC,Bangalore,7.5 lakh
2020,Honda,Honda Jazz 1.2L I-VTEC ZX,"43,340 KM",PETROL,MANUAL,Bangalore,8.33 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC V,"55,531 KM",PETROL,MANUAL,Bangalore,5.81 lakh
2014,Honda,Honda Brio S MT,"73,789 KM",PETROL,MANUAL,Bangalore,3.56 lakh
2012,Honda,Honda Brio S(O) MT,"1,43,991 KM",PETROL,MANUAL,Bangalore,2.85 lakh
2016,Honda,Honda Amaze 1.2L I-VTEC VX,"43,434 KM",PETROL,MANUAL,Bangalore,5.13 lakh
2020,Honda,Honda City 1.5L I-VTEC ZX,"30,951 KM",PETROL,MANUAL,Bangalore,10.88 lakh
2013,Honda,Honda Brio V MT,"41,346 KM",PETROL,MANUAL,Bangalore,3.65 lakh
2012,Honda,Honda City 1.5L I-VTEC V MT,"57,296 KM",PETROL,MANUAL,Bangalore,4.19 lakh
2011,Honda,Honda City 1.5L I-VTEC V MT,"68,165 KM",PETROL,MANUAL,Bangalore,3.47 lakh
2016,Honda,Honda Jazz 1.2L I-VTEC V,"54,782 KM",PETROL,MANUAL,Bangalore,5.68 lakh
2015,Honda,Honda Jazz 1.2L I-VTEC V AT,"23,660 KM",PETROL,AUTOMATIC,Bangalore,6.03 lakh
2019,Honda,Honda Amaze 1.5L I-DTEC V CVT,"54,392 KM",DIESEL,AUTOMATIC,Bangalore,7.7 lakh
2022,Honda,Honda City 1.5L I-VTEC ZX CVT,"9,928 KM",PETROL,AUTOMATIC,Bangalore,14.52 lakh
2016,Honda,Honda Brio S MT,"79,289 KM",PETROL,MANUAL,Bangalore,3.73 lakh
2020,Honda,Honda City 1.5L I-VTEC VX CVT,"41,750 KM",PETROL,AUTOMATIC,Bangalore,11.25 lakh
2018,Honda,Honda City 1.5L I-VTEC ZX CVT,"29,977 KM",PETROL,AUTOMATIC,Bangalore,9.81 lakh
2016,Honda,Honda City 1.5L I-VTEC VX CVT,"92,236 KM",PETROL,AUTOMATIC,Bangalore,7.25 lakh
