Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2011,Honda,Honda City 1.5L I-VTEC S MT,"44,976 KM",PETROL,MANUAL,New Delhi,2.65 lakh
2013,Hyundai,Hyundai Verna 1.6 VTVT SX,44304 KM,PETROL,AUTOMATIC,Gurgaon,8.91 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),44467 KM,DIESEL,MANUAL,Gurgaon,6.29 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,44839 KM,PETROL,AUTOMATIC,Gurgaon,4.15 lakh
2014,Hyundai,Hyundai Eon ERA +,"45,069 KM",PETROL,MANUAL,New Delhi,2.01 lakh
2016,Hyundai,Hyundai Creta BASE 1.6 PETROL,"45,368 KM",PETROL,MANUAL,New Delhi,6.56 lakh
2022,Tata,Tata NEXON XM SUNROOF DIESEL,"45,834 KM",DIESEL,MANUAL,New Delhi,8.04 lakh
2020,Honda,Honda WR-V 1.5L I-DTEC VX MT,"45,972 KM",DIESEL,MANUAL,New Delhi,9.46 lakh
2016,Hyundai,Hyundai i20 Active 1.2 S,45000 KM,DIESEL,MANUAL,Gurgaon,5 lakh
2015,Hyundai,Hyundai VENUE SX 1.0 TURBO,45154 KM,PETROL,AUTOMATIC,Gurgaon,10.7 lakh
2017,Honda,Honda City 1.5L I-VTEC SV,45280 KM,DIESEL,MANUAL,Gurgaon,6.03 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,45624 KM,PETROL,AUTOMATIC,Gurgaon,5.39 lakh
2023,Hyundai,Hyundai Elite i20 MAGNA 1.2,45669 KM,DIESEL,MANUAL,Gurgaon,8.01 lakh
2026,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,45865 KM,PETROL,AUTOMATIC,Gurgaon,9.58 lakh
2021,Hyundai,Hyundai VENUE SX 1.5 CRDI,"46,063 KM",DIESEL,MANUAL,New Delhi,9.01 lakh
2020,Hyundai,Hyundai VENUE S 1.4 CRDI,"46,446 KM",DIESEL,MANUAL,New Delhi,7.35 lakh
2016,Honda,Amaze,"46,594 KM",PETROL,MANUAL,Lucknow,4.64 lakh
2019,Toyota,Toyota Glanza V,46283KM,PETROL,MANUAL,Indore,6.23 lakh
2013,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,46307 KM,PETROL,AUTOMATIC,Gurgaon,9.48 lakh
2022,Tata,Tata ALTROZ XM PLUS PETROL,46314 KM,PETROL,AUTOMATIC,Gurgaon,6.17 lakh
2017,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,46380 KM,DIESEL,MANUAL,Gurgaon,2.26 lakh
2020,Hyundai,Hyundai i20 MAGNA 1.2,46449 KM,DIESEL,MANUAL,Gurgaon,4.05 lakh
2019,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,46482 KM,PETROL,AUTOMATIC,Gurgaon,10.63 lakh
2018,Hyundai,Hyundai Elite i20 MAGNA 1.2,46602 KM,PETROL,AUTOMATIC,Gurgaon,8.69 lakh
2014,Hyundai,Hyundai Verna 1.6 VTVT SX,46627 KM,PETROL,AUTOMATIC,Gurgaon,7.72 lakh
2015,Tata,Tata NEXON XZ PLUS PETROL,46628 KM,PETROL,AUTOMATIC,Gurgaon,3.47 lakh
2017,Hyundai,Hyundai VENUE SX 1.0 TURBO,46670 KM,DIESEL,MANUAL,Gurgaon,5.2 lakh
2016,Hyundai,Hyundai VENUE SX 1.0 TURBO,46858 KM,PETROL,AUTOMATIC,Gurgaon,5.57 lakh
2014,Honda,Honda City 1.5L I-VTEC E MT,"47,069 KM",PETROL,MANUAL,New Delhi,4.52 lakh
2014,Honda,Honda City 1.5L I-VTEC SV CVT,"47,095 KM",PETROL,AUTOMATIC,New Delhi,4.71 lakh
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"47,327 KM",PETROL,MANUAL,New Delhi,5.02 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC S,"47,429 KM",PETROL,MANUAL,New Delhi,5.49 lakh
2021,Tata,Tata Tiago XZ PETROL,"47,603 KM",PETROL,MANUAL,New Delhi,5.33 lakh
2020,Honda,Honda Amaze 1.2L I-VTEC S,"47,733 KM",PETROL,MANUAL,New Delhi,5.21 lakh
2020,Tata,Tata ALTROZ XE PETROL,"47,970 KM",PETROL,MANUAL,New Delhi,5.08 lakh
2021,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,47163 KM,DIESEL,MANUAL,Gurgaon,5.76 lakh
2015,Tata,Tata NEXON XZ PLUS PETROL,47788 KM,DIESEL,MANUAL,Gurgaon,5.29 lakh
2015,Hyundai,Hyundai i20 Active 1.2 S,47860 KM,DIESEL,MANUAL,Gurgaon,11.16 lakh
2019,Hyundai,Hyundai VENUE SX 1.0 TURBO,"48,008 KM",PETROL,MANUAL,New Delhi,8.06 lakh
2019,Honda,Honda City 1.5L I-VTE V CVT,"48,227 KM",PETROL,AUTOMATIC,New Delhi,8.29 lakh
2016,Hyundai,Hyundai i10 MAGNA 1.1,"48,302 KM",PETROL,MANUAL,New Delhi,2.78 lakh
2021,Hyundai,VENUE,"48,413 KM",PETROL,MANUAL,Lucknow,8.51 lakh
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"48,575 KM",PETROL,MANUAL,New Delhi,5.3 lakh
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"48,626 KM",PETROL,MANUAL,New Delhi,2.87 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"48,941 KM",PETROL,MANUAL,New Delhi,5.44 lakh
2020,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),48282 KM,DIESEL,MANUAL,Gurgaon,14.08 lakh
2017,Hyundai,Hyundai NEW SANTRO SPORTZ MT,48631 KM,DIESEL,MANUAL,Gurgaon,5.69 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,48743 KM,PETROL,AUTOMATIC,Gurgaon,5.79 lakh
2018,Hyundai,NEW,"49,001 KM",PETROL,MANUAL,Lucknow,3.98 lakh
2012,Honda,City,"49,034 KM",PETROL,MANUAL,Lucknow,3.3 lakh
2019,Honda,Honda Jazz 1.2L I-VTEC V,"49,131 KM",PETROL,MANUAL,New Delhi,5.78 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"49,352 KM",PETROL,MANUAL,New Delhi,4.17 lakh
2017,Hyundai,Grand,"49,400 KM",PETROL,MANUAL,Lucknow,3.75 lakh
2021,Tata,Tata ALTROZ XM PLUS PETROL,"49,461 KM",PETROL,MANUAL,New Delhi,6.29 lakh
2018,Honda,Honda Amaze 1.2L I-VTEC S CVT,"49,543 KM",PETROL,AUTOMATIC,New Delhi,5.53 lakh
2015,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"49,639 KM",PETROL,AUTOMATIC,New Delhi,4.28 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,"49,812 KM",PETROL,AUTOMATIC,New Delhi,4.07 lakh
2015,Hyundai,Elite,"49,917 KM",PETROL,MANUAL,Lucknow,4.47 lakh
2019,Tata,Tiago,"49,991 KM",PETROL,MANUAL,Lucknow,3.87 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.2,49060KM,PETROL,MANUAL,Indore,4.56 lakh
2019,Tata,Tata ALTROZ XM PLUS PETROL,49424 KM,DIESEL,MANUAL,Gurgaon,3.16 lakh
2016,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,49821 KM,PETROL,AUTOMATIC,Gurgaon,6.25 lakh
2013,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,49883 KM,PETROL,AUTOMATIC,Gurgaon,2.68 lakh
2022,Honda,Honda City 1.5L I-VTEC ZX,4996 KM,DIESEL,MANUAL,Gurgaon,5.43 lakh
2024,Tata,Tata PUNCH PURE MT,"5,048 KM",PETROL,MANUAL,New Delhi,6.39 lakh
2021,Honda,Honda City 1.5L I-VTEC ZX,"5,404 KM",PETROL,MANUAL,New Delhi,11.84 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"50,181 KM",CNG,MANUAL,New Delhi,3.31 lakh
2016,Honda,Honda Amaze 1.2L I-VTEC VX,"50,466 KM",PETROL,MANUAL,New Delhi,3.9 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"50,752 KM",PETROL,MANUAL,New Delhi,4.84 lakh
2012,Hyundai,Hyundai i10 ERA 1.1,"50,949 KM",PETROL,MANUAL,New Delhi,1.96 lakh
2024,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,5000 KM,PETROL,AUTOMATIC,Gurgaon,12.5 lakh
2012,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,50052 KM,DIESEL,MANUAL,Gurgaon,10.97 lakh
2015,Hyundai,Hyundai i20 Active 1.2 SX,"51,090 KM",PETROL,MANUAL,New Delhi,4.77 lakh
